model,p3_claim,cond,value
gemma3-12b,g24p2_000,base,66.6842271626776
gemma3-12b,g24p2_000,prior_only,77.70380149595876
gemma3-12b,g24p2_000,withheld_cf,55.426983410348875
gemma3-12b,g24p2_000,withheld_only,55.545270971441965
gemma3-12b,g24p2_000,withheld_strong,55.86876249763699
gemma3-12b,g24p2_001,base,0.027490664053526567
gemma3-12b,g24p2_001,prior_only,0.07451918606515671
gemma3-12b,g24p2_001,withheld_cf,55.5462583003867
gemma3-12b,g24p2_001,withheld_only,55.54542546696089
gemma3-12b,g24p2_001,withheld_strong,2.8949173933603997e-05
gemma3-12b,g24p2_002,base,33.36568715901417
gemma3-12b,g24p2_002,prior_only,33.3293515068378
gemma3-12b,g24p2_002,withheld_cf,53.750419105450774
gemma3-12b,g24p2_002,withheld_only,55.41312364171743
gemma3-12b,g24p2_002,withheld_strong,44.94768928120467
gemma3-12b,g24p2_003,base,66.57233663536766
gemma3-12b,g24p2_003,prior_only,66.66617690826548
gemma3-12b,g24p2_003,withheld_cf,55.53592732114642
gemma3-12b,g24p2_003,withheld_only,55.52596819460095
gemma3-12b,g24p2_003,withheld_strong,55.52753002990406
gemma3-12b,g24p2_004,base,66.67543317670868
gemma3-12b,g24p2_004,prior_only,66.67299815657258
gemma3-12b,g24p2_004,withheld_cf,55.557956283904986
gemma3-12b,g24p2_004,withheld_only,55.3008490698571
gemma3-12b,g24p2_004,withheld_strong,66.62618127743535
gemma3-12b,g24p2_005,base,24.248259822585915
gemma3-12b,g24p2_005,prior_only,33.31884748335574
gemma3-12b,g24p2_005,withheld_cf,38.89098599404494
gemma3-12b,g24p2_005,withheld_only,0.0031062536362524724
gemma3-12b,g24p2_005,withheld_strong,33.25099179848579
gemma3-12b,g24p2_006,base,66.71179160607475
gemma3-12b,g24p2_006,prior_only,66.67605364918417
gemma3-12b,g24p2_006,withheld_cf,55.51597444118218
gemma3-12b,g24p2_006,withheld_only,40.633576432215065
gemma3-12b,g24p2_006,withheld_strong,55.3462682247939
gemma3-12b,g24p2_010,base,22.103151573098906
gemma3-12b,g24p2_010,prior_only,44.62680463561421
gemma3-12b,g24p2_010,withheld_cf,55.54971706650119
gemma3-12b,g24p2_010,withheld_only,55.540736426114606
gemma3-12b,g24p2_010,withheld_strong,55.14834567046686
gemma3-12b,g24p2_011,base,88.96324021637056
gemma3-12b,g24p2_011,prior_only,88.98419122721245
gemma3-12b,g24p2_011,withheld_cf,67.32965409918671
gemma3-12b,g24p2_011,withheld_only,55.54980166146376
gemma3-12b,g24p2_011,withheld_strong,89.30361501565953
gemma3-12b,g24p2_012,base,0.0005320752454073583
gemma3-12b,g24p2_012,prior_only,1.0594509560822063
gemma3-12b,g24p2_012,withheld_cf,21.809497299218005
gemma3-12b,g24p2_012,withheld_only,0.05036948194696605
gemma3-12b,g24p2_012,withheld_strong,13.559804675917851
gemma3-12b,g24p2_014,base,99.99952836756344
gemma3-12b,g24p2_014,prior_only,88.88613120942583
gemma3-12b,g24p2_014,withheld_cf,57.19434610492984
gemma3-12b,g24p2_014,withheld_only,55.549058271442654
gemma3-12b,g24p2_014,withheld_strong,88.73269003585023
gemma3-12b,g24p2_015,base,0.029613304349304623
gemma3-12b,g24p2_015,prior_only,66.92024940619999
gemma3-12b,g24p2_015,withheld_cf,55.61062627992339
gemma3-12b,g24p2_015,withheld_only,55.55015802708471
gemma3-12b,g24p2_015,withheld_strong,55.47111192748212
gemma3-12b,g24p2_016,base,76.93491611983032
gemma3-12b,g24p2_016,prior_only,77.79424744823223
gemma3-12b,g24p2_016,withheld_cf,66.6090146217787
gemma3-12b,g24p2_016,withheld_only,55.53172334026382
gemma3-12b,g24p2_016,withheld_strong,77.93395512056324
gemma3-12b,g24p2_017,base,88.8801361847887
gemma3-12b,g24p2_017,prior_only,88.87619964221923
gemma3-12b,g24p2_017,withheld_cf,55.238163049441376
gemma3-12b,g24p2_017,withheld_only,55.54313092163938
gemma3-12b,g24p2_017,withheld_strong,55.34076827862497
