model,item_id,kind,direction,value
gemma3-12b,g24a_fever_100683,admit_post,-1,0.04535979300046118
gemma3-12b,g24a_fever_100683,admit_pre,-1,0.2553301894288184
gemma3-12b,g24a_fever_100683,base,-1,0.0003623875235649274
gemma3-12b,g24a_fever_100683,exclude_post,-1,0.0012523090908395417
gemma3-12b,g24a_fever_100683,exclude_pre,-1,0.0621367100690592
gemma3-12b,g24a_fever_100684,admit_post,1,99.99930583092325
gemma3-12b,g24a_fever_100684,admit_pre,1,99.99624604122661
gemma3-12b,g24a_fever_100684,base,1,99.999874958463
gemma3-12b,g24a_fever_100684,exclude_post,1,77.81335251529596
gemma3-12b,g24a_fever_100684,exclude_pre,1,88.83241015806456
gemma3-12b,g24a_fever_100832,admit_post,1,99.99987945522207
gemma3-12b,g24a_fever_100832,admit_pre,1,99.9997152708126
gemma3-12b,g24a_fever_100832,base,1,99.99928463197273
gemma3-12b,g24a_fever_100832,exclude_post,1,56.54377778822854
gemma3-12b,g24a_fever_100832,exclude_pre,1,55.51258673653092
gemma3-12b,g24a_fever_101027,admit_post,1,99.74469206738848
gemma3-12b,g24a_fever_101027,admit_pre,1,99.99973033173794
gemma3-12b,g24a_fever_101027,base,1,99.99822618725491
gemma3-12b,g24a_fever_101027,exclude_post,1,97.47535443163247
gemma3-12b,g24a_fever_101027,exclude_pre,1,99.98617594155259
gemma3-12b,g24a_fever_101062,admit_post,-1,3.0428428753062156e-06
gemma3-12b,g24a_fever_101062,admit_pre,-1,1.227076070736514e-05
gemma3-12b,g24a_fever_101062,base,-1,5.8364686788728505e-06
gemma3-12b,g24a_fever_101062,exclude_post,-1,9.014764287594879e-06
gemma3-12b,g24a_fever_101062,exclude_pre,-1,0.00010259553881904489
gemma3-12b,g24a_fever_101322,admit_post,-1,0.003730610666649155
gemma3-12b,g24a_fever_101322,admit_pre,-1,0.0009429237975906751
gemma3-12b,g24a_fever_101322,base,-1,0.021412901214700478
gemma3-12b,g24a_fever_101322,exclude_post,-1,0.010138035701407025
gemma3-12b,g24a_fever_101322,exclude_pre,-1,0.024280503090849368
gemma3-12b,g24a_fever_102352,admit_post,1,99.99985921823624
gemma3-12b,g24a_fever_102352,admit_pre,1,99.99981990440448
gemma3-12b,g24a_fever_102352,base,1,99.99883468253331
gemma3-12b,g24a_fever_102352,exclude_post,1,99.7445556012171
gemma3-12b,g24a_fever_102352,exclude_pre,1,99.98841985013632
gemma3-12b,g24a_fever_102913,admit_post,-1,1.3530263628396498e-05
gemma3-12b,g24a_fever_102913,admit_pre,-1,3.6770980893271855e-05
gemma3-12b,g24a_fever_102913,base,-1,5.6573248177472895e-06
gemma3-12b,g24a_fever_102913,exclude_post,-1,2.3907948104107873e-06
gemma3-12b,g24a_fever_102913,exclude_pre,-1,5.01650611067596e-06
gemma3-12b,g24a_fever_10379,admit_post,-1,1.982307944587137
gemma3-12b,g24a_fever_10379,admit_pre,-1,0.0007005222928327994
gemma3-12b,g24a_fever_10379,base,-1,0.05640675085627031
gemma3-12b,g24a_fever_10379,exclude_post,-1,55.555625243762194
gemma3-12b,g24a_fever_10379,exclude_pre,-1,85.8794868431778
gemma3-12b,g24a_fever_104221,admit_post,1,99.99986089266912
gemma3-12b,g24a_fever_104221,admit_pre,1,99.9995618552885
gemma3-12b,g24a_fever_104221,base,1,99.99831125359731
gemma3-12b,g24a_fever_104221,exclude_post,1,99.58495884670656
gemma3-12b,g24a_fever_104221,exclude_pre,1,99.99963535214077
gemma3-12b,g24a_fever_10451,admit_post,1,99.67430612851585
gemma3-12b,g24a_fever_10451,admit_pre,1,99.97858741962828
gemma3-12b,g24a_fever_10451,base,1,99.99626958007731
gemma3-12b,g24a_fever_10451,exclude_post,1,66.47257224259488
gemma3-12b,g24a_fever_10451,exclude_pre,1,88.56560801063436
gemma3-12b,g24a_fever_105526,admit_post,-1,1.8763215171357245e-06
gemma3-12b,g24a_fever_105526,admit_pre,-1,8.29702693578074e-06
gemma3-12b,g24a_fever_105526,base,-1,22.250808628321277
gemma3-12b,g24a_fever_105526,exclude_post,-1,1.3817456533357937e-05
gemma3-12b,g24a_fever_105526,exclude_pre,-1,0.8613854655375183
gemma3-12b,g24a_fever_105813,admit_post,-1,21.58518525693004
gemma3-12b,g24a_fever_105813,admit_pre,-1,78.10093098846686
gemma3-12b,g24a_fever_105813,base,-1,88.91632098786054
gemma3-12b,g24a_fever_105813,exclude_post,-1,54.76307796496886
gemma3-12b,g24a_fever_105813,exclude_pre,-1,55.65001771657995
gemma3-12b,g24a_fever_105835,admit_post,1,96.43531749407455
gemma3-12b,g24a_fever_105835,admit_pre,1,98.67552202420963
gemma3-12b,g24a_fever_105835,base,1,0.0033669860904556393
gemma3-12b,g24a_fever_105835,exclude_post,1,55.490039600944804
gemma3-12b,g24a_fever_105835,exclude_pre,1,55.49552401254448
gemma3-12b,g24a_fever_106404,admit_post,1,88.88278314360244
gemma3-12b,g24a_fever_106404,admit_pre,1,88.882806657465
gemma3-12b,g24a_fever_106404,base,1,44.374879156828754
gemma3-12b,g24a_fever_106404,exclude_post,1,63.062675098415234
gemma3-12b,g24a_fever_106404,exclude_pre,1,66.63650876402127
gemma3-12b,g24a_fever_107503,admit_post,-1,9.966792040703686e-05
gemma3-12b,g24a_fever_107503,admit_pre,-1,0.002569752174373274
gemma3-12b,g24a_fever_107503,base,-1,11.122738531370613
gemma3-12b,g24a_fever_107503,exclude_post,-1,0.005427371776324258
gemma3-12b,g24a_fever_107503,exclude_pre,-1,0.02141850145780503
gemma3-12b,g24a_fever_107654,admit_post,-1,0.0012105280059262018
gemma3-12b,g24a_fever_107654,admit_pre,-1,1.7387582261606495e-05
gemma3-12b,g24a_fever_107654,base,-1,0.00018641531263920673
gemma3-12b,g24a_fever_107654,exclude_post,-1,1.0004798743601424
gemma3-12b,g24a_fever_107654,exclude_pre,-1,2.5669349615153243e-06
gemma3-12b,g24a_fever_108107,admit_post,-1,0.25530894469546406
gemma3-12b,g24a_fever_108107,admit_pre,-1,0.0009435728872013338
gemma3-12b,g24a_fever_108107,base,-1,10.44356919172779
gemma3-12b,g24a_fever_108107,exclude_post,-1,0.5270146831363725
gemma3-12b,g24a_fever_108107,exclude_pre,-1,55.510044756029544
gemma3-12b,g24a_fever_108772,admit_post,1,99.99979140059084
gemma3-12b,g24a_fever_108772,admit_pre,1,99.99982620500681
